index	fermion	trace
1	1	1
2	1	2
3	1	2
4	1	2
5	1	2
6	1	2
7	1	2
8	1	3
9	1	3
10	1	3
11	1	3
12	1	3
13	1	3
14	1	3
15	1	3
16	1	3
17	1	4
18	1	4
19	1	4
20	1	4
21	1	4
22	1	4
23	1	4
24	1	5
25	1	5
26	1	5
27	1	5
28	1	6
29	1	6
30	1	7
31	3	1
32	3	1
33	3	1
34	3	1
35	3	1
36	3	2
37	3	2
38	3	2
39	3	2
40	3	2
41	3	2
42	3	2
43	3	2
44	3	2
45	3	2
46	3	2
47	3	2
48	3	2
49	3	2
50	3	3
51	3	3
52	3	3
53	3	3
54	3	3
55	3	3
56	3	3
57	3	3
58	3	3
59	3	3
60	3	3
61	3	3
62	3	3
63	3	4
64	3	4
65	3	4
66	3	4
67	3	4
68	3	4
69	3	5
70	3	5
71	5	1
72	5	1
73	5	1
74	5	2
75	5	2
76	5	2
77	5	2
78	5	2
79	5	2
80	5	2
81	5	2
82	5	3
83	5	3
84	5	3
85	5	3
86	5	3
87	5	3
88	5	4
89	7	1
