M	L	deltaE
25	1	4.54413
25	2	-75.794
25	3	29.1067
25	4	-80.4981
25	5	50.8981
25	6	-77.3982
25	7	71.5491
25	8	-72.1993
25	9	91.5156
25	10	-66.0359
25	11	111.03
25	12	-59.2449
25	13	130.258
25	14	-51.9359
25	15	149.349
25	16	-44.1204
25	17	168.458
25	18	-35.7327
25	19	187.684
25	20	-26.5762
25	21	206.497
25	22	-16.0253
25	23	217.244
=============================
M	L	deltaE
25	1	0.00919459
25	2	-0.0927773
25	3	0.0269568
25	4	-0.0618234
25	5	0.034118
25	6	-0.0468168
25	7	0.0400001
25	8	-0.0380008
25	9	0.0460357
25	10	-0.0321595
25	11	0.0529524
25	12	-0.0279664
25	13	0.0614879
25	14	-0.0247692
25	15	0.0727329
25	16	-0.0221942
25	17	0.0886649
25	18	-0.0199767
25	19	0.113527
25	20	-0.0178145
25	21	0.158592
25	22	-0.0148416
25	23	0.265922
